Unresolved unique labels: 76

- 15 Pound Mud Snapper / 29 Pound Salmon / 32 Pound Catfish / 52 Pound Redgill / 68 Pound Grouper / 22 Pound Lobster / 92–103 Pound Mightfish | guides: Fishing + Cooking | detail: Classic held-in-off-hand trophy fish
- Adamantite Deposit | guides: Mining + Smithing | detail: Outland
- Aldor premium drop | guides: Drop Turn-In + Quest Page Items | detail: Aldor rep
- Argent Dawn Plaguelands parts | guides: Drop Turn-In + Quest Page Items | detail: Argent Dawn / Light's Hope turn-ins
- Ashenvale Shredder Manual pages | guides: Drop Turn-In + Quest Page Items | detail: The Lost Pages
- Blackrock / Core drops | guides: Drop Turn-In + Quest Page Items | detail: Thorium Brotherhood / old craft rep value
- Blank Parchment / basic vendor odds | guides: Engineering Materials | detail: —
- Blue / Red / Green / Gray Dye | guides: Tailoring + Cloth | detail: —
- Borean Leather → Heavy Borean Leather | guides: Skinning + Leatherworking | detail: Wrath conversion
- Budget uncommon cuts | guides: Jewelcrafting + Gems | detail: Green-quality Northrend cuts
- Cenarion Expedition armaments | guides: Drop Turn-In + Quest Page Items | detail: Cenarion Expedition rep
- Cenarion Expedition plant drops | guides: Drop Turn-In + Quest Page Items | detail: Cenarion Expedition rep
- Chaos card pieces | guides: Inscription Materials | detail: Berserker deck cards
- Chaos / Prisms / Undeath Deck | guides: Inscription Materials | detail: Other Northrend decks
- Cobalt Deposit | guides: Mining + Smithing | detail: Northrend
- Copper Vein | guides: Mining + Smithing | detail: Classic
- Dark Iron Deposit | guides: Mining + Smithing | detail: Classic special
- Darkmoon Tier 1 animal parts | guides: Drop Turn-In + Quest Page Items | detail: 5 items → 1 ticket
- Darkmoon Tier 2 animal parts | guides: Drop Turn-In + Quest Page Items | detail: 5 items → 4 tickets
- Darkmoon Tier 3 animal parts | guides: Drop Turn-In + Quest Page Items | detail: 5 items → 8 tickets
- Darkmoon Tier 4 animal parts | guides: Drop Turn-In + Quest Page Items | detail: 5 items → 12 tickets
- Darkmoon Tier 5 animal parts | guides: Drop Turn-In + Quest Page Items | detail: 10 items → 20 tickets
- Design: Etched Twilight Opal | guides: Utility Recipe Drops | detail: —
- Design: Glinting Twilight Opal | guides: Utility Recipe Drops | detail: —
- Design: Lightning Forest Emerald | guides: Utility Recipe Drops | detail: —
- Design/vendor-bought basics | guides: Jewelcrafting + Gems | detail: —
- Enchanting Vellum | guides: Inscription Materials | detail: —
- Epic gem transmutes | guides: Alchemy Materials | detail: Cardinal Ruby / King's Amber / Ametrine / etc.
- Eternal conversions | guides: Alchemy Materials | detail: Earth / Fire / Life / Shadow / Air / Water conversions
- Fel Iron Deposit | guides: Mining + Smithing | detail: Outland
- Firethorn | guides: Alchemy Materials, Herbalism + Herbs | detail: Northrend niche herb
- Gold Vein | guides: Mining + Smithing | detail: Classic rare
- Green Hills of Stranglethorn pages | guides: Drop Turn-In + Quest Page Items | detail: STV page quests
- Hakkari Bijous | guides: Drop Turn-In + Quest Page Items | detail: Zandalar Tribe rep
- Heavy Borean Leather ↔ Arctic Fur value check | guides: Skinning + Leatherworking | detail: Dalaran pattern/trade relationship
- Hide curing / older recipes | guides: Skinning + Leatherworking | detail: Classic/TBC odd mats
- High Classic milling group | guides: Inscription Materials | detail: —
- High-demand epic blue cuts | guides: Jewelcrafting + Gems | detail: Majestic Zircon cuts
- High-demand epic orange cuts | guides: Jewelcrafting + Gems | detail: Ametrine cuts
- High-demand epic red cuts | guides: Jewelcrafting + Gems | detail: Cardinal Ruby cuts
- High-demand epic yellow cuts | guides: Jewelcrafting + Gems | detail: King's Amber cuts
- High-demand rare cuts | guides: Jewelcrafting + Gems | detail: Rare-quality Northrend cuts
- High-tier marks/signets | guides: Drop Turn-In + Quest Page Items | detail: Aldor / Scryer rep
- Iron Deposit | guides: Mining + Smithing | detail: Classic
- Jeweler's Setting | guides: Jewelcrafting + Gems | detail: —
- Khorium Vein | guides: Mining + Smithing | detail: Outland rare
- Knothide Leather → Heavy Knothide Leather | guides: Skinning + Leatherworking | detail: TBC conversion
- Low Classic milling group | guides: Inscription Materials | detail: —
- Low-tier marks/signets | guides: Drop Turn-In + Quest Page Items | detail: Aldor / Scryer lower rep
- Lower City feather drops | guides: Drop Turn-In + Quest Page Items | detail: Lower City rep
- Meta gem transmutes | guides: Alchemy Materials | detail: Earthsiege Diamond / Skyflare Diamond
- Mid Classic milling group | guides: Inscription Materials | detail: —
- Mithril Deposit | guides: Mining + Smithing | detail: Classic
- Nobles card pieces | guides: Inscription Materials | detail: Greatness deck cards
- Northrend herb milling group | guides: Inscription Materials | detail: —
- Outland herb milling group | guides: Inscription Materials | detail: —
- Prisms card pieces | guides: Inscription Materials | detail: Illusion deck cards
- Rich Adamantite Deposit | guides: Mining + Smithing | detail: Outland rich
- Rich Cobalt Deposit | guides: Mining + Smithing | detail: Northrend rich
